#Question Ref.,Reporting Requirement,Definitions,Department
8.9,"Provide details related to waste management by the entity, in the following format for current and previous FY:
Total Waste generated (in metric tonnes)
Plastic waste (A)
E-waste (B)
Bio-medical waste (C)
Construction and demolition waste (D)
Battery waste (E)
Radioactive waste (F)
Other Hazardous waste. Please 
specify, if any. (G)
Other Non-hazardous waste generated (H). Please specify, if any.
(Break-up by composition i.e. by materials relevant to the sector)
Total (A+B + C + D + E + F + G + H)
For each category of waste generated, total waste recovered through recycling, re-using or other recovery operations (in metric tonnes)
Category of waste
(i) Recycled
(ii) Re-used
(iii) Other recovery operations
Total
For each category of waste generated, total waste disposed by nature of disposal method (in metric tonnes)
Category of waste
(i) Incineration
(ii) Landfilling
(iii) Other disposal operations
Total","1. The entity shall report the total waste generated in its activities, with a break-up as per the categories specified in various Waste Management Rules issued by the Ministry of Environment, Forests & Climate Change. 
2. For each respective category of waste generated (plastic, e-waste, bio-medical waste, construction and demolition waste, battery waste, radio-active waste, other hazardous and other non-hazardous waste), the entity shall report the waste that is recovered through recycling, preparing for re-use or through other recovery operations. Guidance on these terms is given below:  Waste may be recovered through any operation wherein products, components of products, or materials that have become waste are prepared to fulfill a purpose in place of new products, components, or materials that would otherwise have been used for that purpose. Preparation for re-use and recycling are examples of recovery operations.  Preparation for re-use means checking, cleaning, or repairing operations, by which products or components of products that have become waste are prepared to be put to use for the same purpose for which they were conceived. Recycling refers to reprocessing of products or components of products that have become waste, to 
make new materials.
3. For each respective category of waste generated(plastic, e-waste, bio-medical waste, construction 
and demolition waste, battery waste, radio-active waste, other hazardous and other non-hazardous 
waste), the entity shall disclose the waste that is disposed with the break-up of the disposal method, 
as follows:
- Waste that is incinerated – incinerations refers to controlled burning of waste at high temperatures
- Waste that is sent to a landfill - landfilling refers to depositing of waste in sanitary landfills, and excludes 
uncontrolled waste disposal such as open burning and dumping
-Other disposal operations: Entities may specify the other disposal operations used, in case the same are significant.
4. Entities should disclose any contextual information necessary to understand the data, such as any standards, methodologies, assumptions and/or calculation tools used",Admin / Legal
8.1,Briefly describe the waste management practices adopted in your establishments. Describe the strategy adopted by your company to reduce usage of hazardous and toxic chemicals in your products and processes and the practices adopted to manage such wastes.,"1. Under this field, the entity may consider including a description of the activities that lead to significant waste-related impact and the actions taken to manage the impact from such waste. Such actions could include the following:  Improving materials selection and product design  Using recycled, re-used or renewable materials  Substituting inputs that have hazardous characteristics with inputs that are non_x0002_hazardous
 2. If the waste generated by the organization in its own activities is managed by a third party, the entity may consider including a description of the processes used to determine whether the third party manages the waste in line with contractual or legislative obligations.",Admin
8.11,"If the entity has operations/offices in/around ecologically sensitive areas (such as national parks, wildlife sanctuaries, biosphere reserves, wetlands, biodiversity hotspots, forests, coastal regulation zones etc.) where environmental approvals / clearances are required, please specify details in the following format:
- Location of operations/offices
- Type of operations
- Whether the conditions of environmental approval / clearance are being complied with? (Y/N)If no, the reasons thereof and corrective action taken, if any.","The entity shall disclose location of operations/offices (along with type of operations) & whether the conditions of environmental approval / clearance are being complied with, in Yes / No format. If Not, the reasons thereof & corrective action taken, if any",Admin
8.12,"Details of environmental impact assessments of projects undertaken by the entity based on applicable laws, in the current financial year:
- Name and brief details of project
- EIA Notification No.
- Date
- Whether conducted by independent external agency (Yes / No)
- Results communicated in public domain (Yes / No)
- Relevant Web link","This disclosure shall be made, if the entity has undertaken EIA in compliance with applicable environmental laws.",Legal
8.13,"Is the entity compliant with the applicable environmental law/ regulations/ guidelines in India; such as the Water (Prevention and Control of Pollution) Act, Air (Prevention and Control of Pollution) Act, Environment protection act and rules thereunder (Y/N). If not, provide details of all such non-compliances, in the following format:
- Specify the law / regulation / guidelines which was not complied with
- Provide details of the non compliance
- Any fines / penalties / action taken by regulatory agencies such as pollution control boards or by courts
- Corrective action taken, if any","The entity shall disclose compliance with environmental laws in following format: • Non-compliance with particular environmental law along with details thereof • Fines/penalties/action taken by regulators like pollution control boards/ courts• Corrective action taken, if any",Legal
8.15,"Water withdrawal, consumption and discharge in areas of water stress (in kilolitres). For each facility / plant located in areas of water stress, provide the following information for current and previous FY:
(i) Name of the area
(ii) Nature of operations
(iii) Water withdrawal, consumption and discharge in the following format:
Water withdrawal by source (in kilolitres)
(i) Surface water
(ii) Groundwater
(iii) Third party water
(iv) Seawater / desalinated water
(v) Others 
Total volume of water withdrawal (in kilolitres)
Total volume of water consumption (in kilolitres) 
Water intensity per rupee of turnover (Water consumed / turnover)
Water intensity (optional) – the relevant metric may be selected by the entity
Water discharge by destination and level of treatment (in kilolitres)
(i) Into Surface water
- No treatment
- With treatment – please specify level of treatment
(ii) Into Groundwater
- No treatment
- With treatment – please specify level of treatment
(iii) Into Seawater
- No treatment
- With treatment – please specify level of treatment
(iv) Sent to third-parties
No treatment
- With treatment – please specify level of treatment
(v) Others
- No treatment
- With treatment – please specify level of treatment Total water discharged (in kilolitres)","1. Areas of water stress are those where there is inability to meet the human and ecological demand for water. It can refer to the availability, quality, or accessibility of water. Further, areas classified as “over-exploited” or “critical” by the Central Groundwater Board, shall fall under area of water stress (Reference: http://cgwb.gov.in/gwresource.html). 
2. The entity may also refer to the guidance at Question 3 of Essential indicators and Question 2 of Leadership Indicators under P6.",Admin
8.16 / 4.2,"Please provide details of total Scope 3 emissions & its intensity, in the following format in current and previous FY:
- Total Scope 3 emissions(Break-up of the GHG into CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, if available) in Metric tonnes of CO2 equivalent
- Total Scope 3 emissions per rupee of turnover
- Total Scope 3 emission intensity (optional) – the relevant metric may be selected by the entity","1. Scope 3 emissions are indirect GHG emissions (not included in energy indirect (Scope 2) GHG emissions) that occur outside of the organization, including both upstream and downstream emissions. 2. Upstream categories can include purchased goods and services, capital goods, upstream transportation and distribution, business travel, etc. Downstream categories can include downstream transportation and distribution, processing of sold products, end-of-life treatment of sold products etc. 3. Entities may, on a voluntary basis, provide a break_x0002_up of the Scope 3 emissions into CO2, CH4, N2O, HFCs, PFCs, SF6, NF3. 4. The entity shall exclude any GHG trades (purchase, sale or transfer of GHG emissions) from the calculation of Scope 3 GHG emissions. 5. The unit for the disclosures shall be metric tonnes of CO2 equivalent. Entities should consistently apply global warming potential (GWP) rates and emission factors used for the data disclosed and also disclose the source of the rates / factors. Further, entities should disclose the standards, methodologies, assumptions and/or calculation tools used, including sources of the global warming potential (GWP) rates and emission factors used. 6. Scope 3 emission intensity per rupee of turnover shall be calculated as the total Scope 3 emissions generated divided by the total turnover in rupees. 10. Apart from turnover, entities may on a voluntary 
basis, provide Scope 3 GHG emission intensity ratio, 
based on other metrics, such as:
• units of product; 
• production volume (such as metric tons, 
litres, or MWh); 
• size (such as m2 floor space); 
• number of full-time employees",Admin
8.17,"With respect to the ecologically sensitive areas reported at Question 10 of Essential Indicators above, provide details of significant direct & indirect impact of the entity on biodiversity in such areas along-with prevention and remediation activities","1. Under this field, for the ecologically sensitive areas reported by the entity at Question 10 of Essential indicators under Principle 6, the entity can report any impact of its operations that could adversely affect the integrity of such an area, either directly or indirectly, by substantially changing its ecological features, structures, and functions across its whole area, and over the long term, so that habitat, its population levels, and the particular species that make the habitat important cannot be sustained",Admin
8.18,"If the entity has undertaken any specific initiatives or used innovative technology or solutions to improve resource efficiency, or reduce impact due to emissions / effluent discharge / waste generated, please provide details of the same as well as outcome of such initiatives, as per the following format:
- Initiative undertaken 
- Details of the initiative (Web-link, if any, may be provided along-with summary)
- Outcome of the initiative",The entity shall disclose details of such initiatives & outcome under following heads: • Initiative undertaken • Details of the initiative • Outcome of the initiative,Admin
8.19,Does the entity have a business continuity and disaster management plan? Give details in 100 words/ web link.," Gives insight into the organization's preparation for potentially disruptive events & risk management strategy. The entity shall disclose details of any business continuity / disaster management plan set up by it, along with weblinks, if any",IT
8.2,"Disclose any significant adverse impact to the environment, arising from the value chain of the entity. What mitigation or adaptation measures have been taken by the entity in this regard.","This disclosure informs stakeholders about entity’s awareness & involvement in actual / potential negative environmental impacts caused by its value chain.
The organization’s ‘value chain’ includes the range of activities carried out by the organization, & by entities upstream & downstream from the organization, to bring the organization’s products or services from their conception to their end use. Entities upstream from the organization provide products or services used in the development of the organization’s own 
products or services. Entities downstream from the organization are those that receive products or services from the organization. Entities in the value chain include entities beyond the first tier, both upstream & downstream.The entity shall disclose any significant adverse impact to the environment, arising from value chains of entity along with its climate-related supplier/customer engagement strategy",Legal
8.21,Percentage of value chain partners (by value of business done with such partners) that were assessed for environmental impacts.,"The entity shall disclose the percentage of value chain partners that were assessed for environmental impacts by: • screening using environmental criteria & Location • Significant actual & potential negative environmental impacts identified in supply chain (Negative impacts include those that are either caused or contributed to by an entity, or that are directly linked to its operations, products, or services by its relationship with a supplier)",Secretarial
8.22,"How many Green Credits have been generated: 
 - By the company
 - By the value chain partners",,Finance
9.1,"Number of affiliations with trade and industry chambers/ associations and List the top 10 trade and industry chambers/ associations (determined based on the total members of such body) the entity is a member of/ affiliated to.
","It gives insight into whether or not an organization's affiliation with a particular trade & industry association influences the mission or objective of that particular association. Also, to find out whether an Associations’ primary objective of helping existing businesses to grow locally, expand into new markets & remain competitive in an increasingly complex & evolving global marketplace is being fulfilled or not.The entity shall disclose, in numbers, its affiliations with Trade & Industry chambers/associations & also the names of top 10 trade & industry chambers, the entity is a member of.",Finance
9.2,"Provide details of corrective action taken or underway on any issues related to anti competitive conduct by the entity, based on adverse orders from regulatory authorities
- Name of authority 
- Brief of the case 
- Corrective action taken","The entity shall disclose the details of corrective action taken under below heads:
• Name of the Authority 
• Brief of the case 
• corrective action taken",Legal
9.3,"Details of public policy positions advocated by the entity
- Public policy advocated
- Method resorted for such advocacy
- Whether information available in public domain? (Yes/No) 
- Frequency of Review by Board (Annually/ Half yearly/ Quarterly / 
- Others –please specify) 
- Web Link, if available","1. The listed shall disclose issues that are the focus of its participation in public policy development.
2. Further, the entity shall provide the details of methods resorted to in each case including affiliation with other similar business entities by forming coalitions, representing through trade chambers, social marketing, etc. 
3. The entity shall select Yes or No, as the case may be, for the availability of information on each public policy advocated in public domain. 
4. Select the appropriate frequency of Board review, such as:  Quarterly, Half-yearly, Annually, Others(please specify)
5. Also provide the link of the document containing details of such public policy position advocated in the public domain, if available.",Legal
10.1,"Details of Social Impact Assessments (SIA) of projects undertaken by the entity based on applicable laws, in the current financial year.
- Name and brief details of project 
- SIA Notification No.
- Date of notification
- Whether conducted by independent external agency (Yes / No)
- Results communicated in public domain (Yes / No)
- Relevant Web link","This disclosure shall be made, if the entity has undertaken SIA in compliance with laws such as the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013",Secretarial
10.2,"Provide information on project(s) for which ongoing Rehabilitation and Resettlement (R&R) is being undertaken by your entity, in the following format:
- Name of Project for which R&R is ongoing 
- State District 
- No. of Project Affected Families (PAFs) 
- % of PAFs covered by R&R 
- Amounts paid to PAFs in the FY (In INR)","Large scale development projects involve huge land acquisition and thus forceful displacement of people from their land. Resettlement & Rehabilitation Plan (R & R Plan) helps to systematize the land acquisition process so as to achieve the satisfaction of the land owners and aids effective execution/development of the project with 100% social acceptability. This reduces the social risks associated with the project which may come up during the design and execution stage and may incur huge cost for managing those social issues. Preparation of R & R Plan is mandatory for all the projects involving land acquisition as per the R&R Act, 2013.
The entity shall disclose requested information like (i) Name, (ii) place, (iii) no. of affected families, (iv) % of such families covered & (v) amounts paid for the ongoing R&R project.",Secretarial
10.3,Describe the mechanisms to receive and redress grievances of the community,"Local communities are defined as persons or groups of persons living and/or working in any areas that are economically, socially or environmentally impacted (positively or negatively) by an organization’s operations. The local community can range from persons living adjacent to an organization's operations, to those living at a distance who are still likely to be impacted by these operations.",Legal
10.4,"Percentage of input material (inputs to total inputs by value) sourced from suppliers in current and previous FY:
- Directly sourced from MSMEs/ small producers 
- Sourced directly from within the district and neighbouring districts","1. Small producers mean those where the owner herself or himself is a worker and includes informal and/or producers such as self-help groups and home-based workers as well as producer-owned entities such as cooperatives, producer companies. 2. MSME is defined by Ministry of MSME as: 
-Micro: Investment in Plant and Machinery or Equipment not more than Rs.1 crore and Annual Turnover not more than Rs. 5 crore 
-Small: Investment in Plant and Machinery or Equipment not more than Rs.10 crore and Annual Turnover not more than Rs. 50 crore
-Medium: Investment in Plant and Machinery or Equipment not more than Rs.50 crore and Annual Turnover not more than Rs. 250 crore",Finance
10.5,Job creation in smaller towns – Wages paid to persons employed in smaller towns (permanent or non-permanent /on contract) as % of total wage cost.,Place of employment of employees /workers (Place to be categorised based on with RBI classification system on rural / semi-urban / urban / metropolitan) ,Human Resource
10.6,Provide details of actions taken to mitigate any negative social impacts identified in the Social Impact Assessments (Reference: Question 1 of Essential Indicators above),"A key element in managing impacts on people in local communities is assessment & planning in order to understand the actual & potential impacts, & strong engagement with local communities to understand their expectations & needs. There are many elements that can be incorporated into local community engagement, impact assessments, & development programs. This seeks to identify which elements have been consistently applied, organization-wide",Secretarial
10.7,"Provide the following information on CSR projects undertaken by your entity in designated aspirational districts as identified by government bodies
- State 
- Aspirational District 
- Amount spent (In INR)","As per the ‘Transformation of Aspirational Districts’ programme of the Government, a list of districts has been identified for quick and effective transformation. For additional details, refer to the following link: https://niti.gov.in/about-aspirational-districts_x0002_programm",Secretarial
10.8,"(a) Do you have a preferential procurement policy where you give preference to purchase from suppliers comprising marginalized /vulnerable groups? (Yes/No) 
(b) From which marginalized /vulnerable groups do you procure? 
(c) What percentage of total procurement (by value) does it constitute?","The entity shall disclose its procurement policy w.r.t. from suppliers such as marginalized or vulnerable groups, if any, & provide details of such procurement in terms of former’s percentage to total procurement (by value)",Secretarial
10.9,"Details of the benefits derived and shared from the intellectual properties owned or acquired by your entity (in the current financial year), based on traditional knowledge
- Intellectual Property based on traditional knowledge Owned/ Acquired (Yes/No) 
- Benefit shared (Yes / No)
- Basis of calculating benefit share ","Provide brief information of intellectual properties based on traditional knowledge owned or acquired by the business in the current Financial Year, mention Yes / No for Owned or Acquired, as the case may be. Select Yes or No as the case may be whether benefit arising out of such IPRs are shared on the lines of Access to Biological Resources and Associated Knowledge and Benefits Sharing Regulations, 2014. Intellectual Properties Intellectual property refers to creations of the mind: such as inventions, literary, musical and artistic works, and symbols, names, images and designs used in commerce, for which the IP owners are granted certain exclusive rights under the corresponding national IP laws. Common types of IP include patents (inventions), copyrights, trademarks, industrial designs, software, geographic indications and trade secrets, etc. Traditional Knowledge refers to any indigenous, technical, ecological, scientific, medical or cultural knowledge which is not necessarily documented but is in use by or generally known to communities. Typical examples include antiseptic properties of neem, turmeric, etc. Briefly outline the basis for calculating the benefits shared by the company with the “owners” of such traditional knowledge",Finance
10.1,"Details of corrective actions taken or underway, based on any adverse order in intellectual property related disputes wherein usage of traditional knowledge is involved.
- Name of authority 
- Brief of the Case 
- Corrective action taken ",Briefly disclose corrective actions taken based on adverse order in IPR related disputes wherein usage of traditional knowledge is involved as under following heads: • Name of authority • Brief of the Case • Corrective action taken,Legal
10.11,"Details of beneficiaries of CSR Projects:
- CSR Project 
- No. of persons benefitted from CSR Projects 
- % of beneficiaries from vulnerable and marginalized groups","For each CSR Project undertaken by the company, enter: (a) total number of beneficiaries, (b) percentage of such beneficiaries belonging to vulnerable and marginalised groups",Secretarial
11.1,Describe the mechanisms in place to receive and respond to consumer complaints and feedback.,The entity shall share the details of its Grievance Redressal Mechanism for customer/consumer complaints & customer survey/feedback.,Customer Support
11.2,"Turnover of products and/ services as a percentage of turnover from all products/service that carry information about (as % of total):
- Environmental and social parameters relevant to the product
- Safe and responsible usage
- Recycling and/or safe disposal","It provides an overview to understand what could be potential risks & opportunities in terms of ESG compliances or investment or finance related to any product & its overall impact on the organization's turnover & financial standing.The entity shall disclose relevant data as % of entity's overall turnover for 
following heads:
• Environmental & social parameters relevant to the product
• Safe & responsible usage
• Recycling &/or safe disposal",Finance
11.3,"Number of consumer complaints (received during the year and pending for resolution at the year end) in respect of the following for current and previous FY:
- Data privacy
- Advertising
- Cyber-security
- Delivery of essential services
- Restrictive Trade Practices
- Unfair Trade Practices
- Other ","As per the consumer grievance redressal mechanism, the entity shall share the relevant data for complaints received during the year as well as those pending resolution at end of year for the current & previous financial years for: • Data privacy • Advertising • Cyber-security • Delivery of essential services • Restrictive Trade Practices • Unfair Trade Practices • Other",Legal
11.4,"Details of instances of product recalls on account of safety issues (Number and Reason for Recall):
- Voluntary
- Forced",A product recall is the process of retrieving defective &/or potentially unsafe goods from consumers. Such data can reveal the extent of entity’s safety measures & their effectiveness.The entity shall disclose the number of forced as well as voluntary product recalls in a given year along with reasons for such recall.,Legal
11.5,"Does the entity have a framework/ policy on cyber security and risks related to data privacy? (Yes/No) If available, provide a web-link of the policy.","This disclosure can help stakeholders assess a entity's cybersecurity risk & level of disclosures & provide regulators with information on whether additional legislative standards are necessary for encouraging companies to disclose more about their cybersecurity. Advertisers can collect and/or purchase highly detailed information about the habits and lives of buyers, and advertising strategies can be precisely targeted. Being part of an industry that uses large quantities of data about private citizens, advertising and marketing companies must weigh the benefits of targeted advertising versus customer concerns about data privacy",IT
11.6,"Provide details of any corrective actions taken or underway on issues relating to advertising, and delivery of essential services; cyber security and data privacy of customers; re-occurrence of instances of product recalls; penalty / action taken by regulatory authorities on safety of products / services","The entity shall disclose details of any corrective action/steps/measures taken /underway on issues relating to • advertising, & delivery of essential services; • cyber security & data privacy of customers; • re-occurrence of instances of product recalls; • penalty / action taken by regulatory authorities on safety of products / service",Legal
11.7,"Channels / platforms where information on products and services of the entity can be accessed (provide web link, if available).","Describe the Channels / platforms where information on goods & services of the business can be accessed. For Example, websites of the entity, Mobile Apps, Help Desks, Call Centres, etc. Also, provide the link of the document containing such information if available in the public domain",IT
11.8,Steps taken to inform and educate consumers about safe and responsible usage of products and/or services.,"This disclosure provides an overview of procedures asset up by the entity to raise awareness regarding the nature & use of its products / services.he entity shall disclose relevant steps taken to inform & educate consumers about safe
& responsible usage of products &/or services",Customer Support
11.9,Mechanisms in place to inform consumers of any risk of disruption/discontinuation of essential services,Access to this information helps customers to make informed purchasing choices.The entity shall disclose relevant mechanisms in place to inform consumers of any risk of disruption/discontinuation of essential services.,Customer Support
11.1,"Does the entity display product information on the product over and above what is mandated as per local laws? (Yes/No/Not Applicable) If yes, provide details in brief.

Did your entity carry out any survey with regard to consumer satisfaction relating to the major products / services of the entity, significant locations of operation of the entity or the entity as a whole? (Yes/No)","The entity shall firstly disclose whether it displays product information on the product over & above what Is mandated as per local laws in a Yes / No format. Next, the entity shall disclose whether it carries out any survey with regard to consumer satisfaction relating to the major products / services of the entity, significant locations of operation of the entity or the entity as a whole, along with relevant details.",Customer Support
11.11 / 1.4.8,"Provide the following information relating to data breaches: 
a. Number of instances of data breaches along-with impact 
b. Percentage of data breaches involving personally identifiable information of customer",The entity shall disclose following data for the current financial year: • Number of instances of data breaches along-with impact • Percentage of data breaches involving personally identifiable information of customers,IT
